smiles,Predict ee (%)
COC1=CC(OC)=CC(P(C2=CC(OC)=CC(OC)=C2)C3=CC=CC=C3C4=N[C@@H](C5=CC=CC=C5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4)=C1,30
COC1=CC(OC)=CC(P(C2=CC(OC)=CC(OC)=C2)C3=CC=CC=C3C4=N[C@@H](CC5=CC=CC=C5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4)=C1,70
COC1=CC(OC)=CC(P(C2=CC(OC)=CC(OC)=C2)C3=CC=CC=C3C4=N[C@@H](CC5=CC(C=CC=C6)=C6C=C5)C(C7=CC(OC)=CC(OC)=C7)(C8=CC(OC)=CC(OC)=C8)O4)=C1,70
COC1=CC(OC)=CC(P(C2=CC(OC)=CC(OC)=C2)C3=CC=CC=C3C4=N[C@@H](CC5=C(C=CC=C6)C6=CC=C5)C(C7=CC(OC)=CC(OC)=C7)(C8=CC(OC)=CC(OC)=C8)O4)=C1,70
CC(C)[C@@H](C(C1=CC(OC)=CC(OC)=C1)(C2=CC(OC)=CC(OC)=C2)O3)N=C3C4=CC=CC=C4P(C5=CC(OC)=CC(OC)=C5)C6=CC(OC)=CC(OC)=C6,69
CC(C)(C)[C@@H](C(C1=CC(OC)=CC(OC)=C1)(C2=CC(OC)=CC(OC)=C2)O3)N=C3C4=CC=CC=C4P(C5=CC(OC)=CC(OC)=C5)C6=CC(OC)=CC(OC)=C6,72
C[C@H](CC)[C@@H](C(C1=CC(OC)=CC(OC)=C1)(C2=CC(OC)=CC(OC)=C2)O3)N=C3C4=CC=CC=C4P(C5=CC(OC)=CC(OC)=C5)C6=CC(OC)=CC(OC)=C6,69
CCCC(CCC)[C@@H](C(C1=CC(OC)=CC(OC)=C1)(C2=CC(OC)=CC(OC)=C2)O3)N=C3C4=CC=CC=C4P(C5=CC(OC)=CC(OC)=C5)C6=CC(OC)=CC(OC)=C6,36
CC(C)CC[C@@H](C(C1=CC(OC)=CC(OC)=C1)(C2=CC(OC)=CC(OC)=C2)O3)N=C3C4=CC=CC=C4P(C5=CC(OC)=CC(OC)=C5)C6=CC(OC)=CC(OC)=C6,38
CC(C)CC(CC(C)C)[C@@H](C(C1=CC(OC)=CC(OC)=C1)(C2=CC(OC)=CC(OC)=C2)O3)N=C3C4=CC=CC=C4P(C5=CC(OC)=CC(OC)=C5)C6=CC(OC)=CC(OC)=C6,76
COC1=CC(OC)=CC(P(C2=CC(OC)=CC(OC)=C2)C3=CC=CC=C3C4=N[C@@H](C5CCCC5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4)=C1,65
COC1=CC(OC)=CC(P(C2=CC(OC)=CC(OC)=C2)C3=CC=CC=C3C4=N[C@@H](C5CCCCCC5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4)=C1,36
CC1=CC=CC=C1C(O2)(C3=C(C)C=CC=C3)[C@H](C4CCCCC4)N=C2C5=CC=CC=C5P(C6=CC(OC)=CC(OC)=C6)C7=CC(OC)=CC(OC)=C7,40
